Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.0,70,1.5,,inf
12.0,70,1.6,,inf
12.0,75,0.0,33.0,0.025096771591870813
12.0,75,0.1,32.5,0.047058949312284666
12.0,75,0.2,31.5,0.015497741814564578
12.0,75,0.30000000000000004,31.0,0.0035524155717812055
12.0,75,0.4,30.5,0.031882642663156685
12.0,75,0.5,30.5,0.039418758173356876
12.0,75,0.6000000000000001,30.0,0.047380722873354895
12.0,75,0.7000000000000001,30.0,0.002129445752235873
12.0,75,0.8,30.0,0.03704049564318503
12.0,75,0.9,30.0,0.07130388438307547
12.0,75,1.0,29.5,0.062310087752791794
12.0,75,1.1,15.0,5.476319495325345
12.0,75,1.2000000000000002,18.5,11.494434752819418
12.0,75,1.3,,inf
12.0,75,1.4000000000000001,,inf
12.0,75,1.5,,inf
12.0,75,1.6,,inf
12.0,80,0.0,32.5,0.012305215681893893
12.0,80,0.1,32.5,0.0242443451898169
12.0,80,0.2,31.5,0.05188800463334748
12.0,80,0.30000000000000004,30.5,0.05885989126839149
12.0,80,0.4,30.5,0.0317739225185969
12.0,80,0.5,30.0,0.03902952082726654
12.0,80,0.6000000000000001,30.0,0.014479489021274355
12.0,80,0.7000000000000001,30.0,0.05973076614239338
12.0,80,0.8,29.5,0.056504313777531345
12.0,80,0.9,29.5,0.02554169719094848
12.0,80,1.0,29.5,0.0022019866962043407
12.0,80,1.1,15.0,5.451457028665679
12.0,80,1.2000000000000002,18.5,11.463384437103242
12.0,80,1.3,,inf
12.0,80,1.4000000000000001,,inf
12.0,80,1.5,,inf
12.0,80,1.6,,inf
12.0,85,0.0,32.0,0.05215726835574189
12.0,85,0.1,32.0,0.007472689301753476
12.0,85,0.2,31.0,7.799088356788229e-05
12.0,85,0.30000000000000004,30.5,0.004796673913362097
12.0,85,0.4,30.0,0.04191475294229742
12.0,85,0.5,30.0,0.022830691067363237
12.0,85,0.6000000000000001,29.5,0.07227196092657899
12.0,85,0.7000000000000001,29.5,0.031600263543072125
12.0,85,0.8,29.5,0.0036037872790561096
12.0,85,0.9,29.5,0.03456640386563898
12.0,85,1.0,29.5,0.057906114360383114
12.0,85,1.1,15.0,5.426594562006015
12.0,85,1.2000000000000002,18.5,11.432334121387068
12.0,85,1.3,,inf
12.0,85,1.4000000000000001,,inf
12.0,85,1.5,,inf
12.0,85,1.6,,inf
12.0,90,0.0,32.0,0.017163218397397227
12.0,90,0.1,31.5,0.04231986893589602
12.0,90,0.2,30.5,0.054718836753723105
12.0,90,0.30000000000000004,30.0,0.06237681889024246
12.0,90,0.4,30.0,0.019945458952331834
